Date,Artist ,Album,Genre,Year,Label
15/09/2022,Yussef Dayes,The Yussef Dayes Experience Live at Joshua Tree,Jazz,2022,Brownswood Recordings
15/09/2022,Himera,Sharing Secrets,Electronic,2022,unseelie 
17/09/2022,Sarah Davachi,Two Sisters,Ambient,2022,Late Music
17/09/2022,AURORA,The Gods We Can Touch,Pop,2022,Decca Records
17/09/2022,Marxist Love Disco Ensemble,MLDE,Electronic,2022,Mr Bongo
18/09/2022,Marina Herlop,Nanook,Jazz ,2016,Instrumental Records
18/09/2022,Father John Misty,Live at Electric Lady,Folk,2022,Bella Union
18/09/2022,PJ Harvey,"Stories From The City, Stories From the Sea",Rock,2000,Island Records
19/09/2022,PJ Harvey,The Hope Six Demolition Project,Rock,2016,Island Records
19/09/2022,Nick Cave and the Bad Seeds,Murder Ballads,Rock,1996,Mute Artists
19/09/2022,Varg,Crush,Experimental,2018,Posh Isolation
19/09/2022,Body Sculptures,The Base of All Beauty Is the Body,Experimental,2017,Posh Isolation
20/09/2022,"Thelonious Monk, John Coltrane",Thelonious Monk with John Coltrane,Jazz,1961,Jazzland Records
20/09/2022,Lighght,Seodra,Electronic,2022,Doom Trip Records
20/09/2022,Sky H1,Azure,Experimental,2021,AD 93
22/09/2022,Milton Nascimento,Clube Da Esquina,World Music,1972,Odeon
25/09/2022,Pharoah Sanders,Black Unity,Jazz,1971,Impulse!
25/09/2022,"Pharoah Sanders, Sun Ra, Black Harold",Sun Ra with Pharoah Sanders and Black Harold,Jazz,1976,El Saturn Records
25/09/2022,Pharoah Sanders,Karma,Jazz,1969,Impulse!
25/09/2022,VTSS,Circulus Vitiosus,Electronic,2022,Ninja Tune 
25/09/2022,Tomaga,Intimate Intensity,Electronic,2021,Hands in The Dark
26/09/2022,Bdrmm,Bedroom ,Rock,2020,Sonic Cathedral Recordings
26/09/2022,Pip Blom,Boat,Rock,2019,Heavenly Records
27/09/2022,Kai Whiston,Quiet As Kept F.O.G. ,Electronic,2022,Lux Recordings
27/09/2022,Dean Blunt,The Narcissist II,Experimental,2012,Hippos in Tanks
28/09/2022,My Guitar Is Trying To Kill Me ,One Day I Will Hope Again,Rock,2020,[self]
28/09/2022,Elliott Fullam,What's Wrong ,Rock,2022,[self]
28/09/2022,Alex G,God Save The Animals,Rock,2022,Domino Recording Co
28/09/2022,Technical Space Composer's Crew,Canaxis 5,Experimental,1969,Music Factory
28/09/2022,Deli Girls,I Don't Know How to Be Happy,Experimental,2019,Sweet Equity
29/09/2022,SPIRIT OF THE BEEHIVE,"ENTERTAINMENT, DEATH",Rock,2021,Saddle Creek
29/09/2022,The Edge Of Daybreak,Eyes Of Love,Rock,1979,Numero Group
29/09/2022,"John Coltrane, Milt Jackson",Bags and Trane,Jazz,1961,Atlantic Records
29/09/2022,Nina Simone,Baltimore,Jazz,1978,Epic
29/09/2022,Tim Hecker ,Dropped Pianos,Ambient,2011,kranky
30/09/2022,Bjork,Fossora,Pop,2022,One Little Independent
30/09/2022,Billy Woods,Church,Hip Hop,2022,Backwoodz Studioz
30/09/2022,Freestyle Fellowship,Innercity Griots,Hip Hop,1993,Island Records
30/09/2022,Bladee,Spiderr,Hip Hop,2022,YEAR0001
30/09/2022,Shygirl,Nymph,Pop,2022,Nuxxe
01/10/2022,Joao Gilberto,Joao Gilberto,World Music,1973,Odeon
02/10/2022,Daedelus,Simmers Over,Electronic,2022,Dome of Doom
02/10/2022,Karriem Riggins,Alone Together,Jazz,2012,Stones Throw Records
03/10/2022,James K,Random Girl,Electronic,2022,Incienso
04/10/2022,Linear Search,The Empty House On The Left,Electronic,2019,Dynamic Reflection
05/10/2022,Oklou,Galore,Pop,2020,True Panther Sounds
05/10/2022,Clark,05-10,Electronic,2022,WARP
05/10/2022,Seefeel,Succour,Electronic,1995,WARP
05/10/2022,Two Lone Swordsmen,Stay Down,Electronic,1998,WARP
07/10/2022,Various Artists,P.U.P. Volume 2,Electronic,2022,P.U.P.
07/10/2022,Coil,Black Light District: A Thousand Lights in a Darkened Room ,Experimental,1996,[self]
08/10/2022,Autechre,Move of Ten,Electronic,2010,WARP
08/10/2022,Panchiko,D>E>A>T>H>M>E>T>A>L,Rock,2000,[self]
